KC_term,gene
CAUSES MITOCHONDRIAL DYSFUNCTION,EXOC6
CAUSES MITOCHONDRIAL DYSFUNCTION,EXOC7
CAUSES MITOCHONDRIAL DYSFUNCTION,EXOC8
CAUSES MITOCHONDRIAL DYSFUNCTION,FBF1
CAUSES MITOCHONDRIAL DYSFUNCTION,GBF1
CAUSES MITOCHONDRIAL DYSFUNCTION,HAUS1
CAUSES MITOCHONDRIAL DYSFUNCTION,HAUS2
CAUSES MITOCHONDRIAL DYSFUNCTION,HAUS3
CAUSES MITOCHONDRIAL DYSFUNCTION,HAUS4
CAUSES MITOCHONDRIAL DYSFUNCTION,HAUS5
CAUSES MITOCHONDRIAL DYSFUNCTION,HAUS6
CAUSES MITOCHONDRIAL DYSFUNCTION,HAUS7
CAUSES MITOCHONDRIAL DYSFUNCTION,HAUS8
CAUSES MITOCHONDRIAL DYSFUNCTION,HDAC6
CAUSES MITOCHONDRIAL DYSFUNCTION,HSP90AA1
CAUSES MITOCHONDRIAL DYSFUNCTION,HSPB11
CAUSES MITOCHONDRIAL DYSFUNCTION,IFT122
CAUSES MITOCHONDRIAL DYSFUNCTION,IFT140
CAUSES MITOCHONDRIAL DYSFUNCTION,IFT172
CAUSES MITOCHONDRIAL DYSFUNCTION,IFT20
CAUSES MITOCHONDRIAL DYSFUNCTION,IFT22
CAUSES MITOCHONDRIAL DYSFUNCTION,IFT27
CAUSES MITOCHONDRIAL DYSFUNCTION,IFT43
CAUSES MITOCHONDRIAL DYSFUNCTION,IFT46
CAUSES MITOCHONDRIAL DYSFUNCTION,IFT52
CAUSES MITOCHONDRIAL DYSFUNCTION,IFT57
CAUSES MITOCHONDRIAL DYSFUNCTION,IFT70A
CAUSES MITOCHONDRIAL DYSFUNCTION,IFT70B
CAUSES MITOCHONDRIAL DYSFUNCTION,IFT74
CAUSES MITOCHONDRIAL DYSFUNCTION,IFT80
CAUSES MITOCHONDRIAL DYSFUNCTION,IFT81
CAUSES MITOCHONDRIAL DYSFUNCTION,IFT88
CAUSES MITOCHONDRIAL DYSFUNCTION,INPP5E
CAUSES MITOCHONDRIAL DYSFUNCTION,IQCB1
CAUSES MITOCHONDRIAL DYSFUNCTION,KIF17
CAUSES MITOCHONDRIAL DYSFUNCTION,KIF24
CAUSES MITOCHONDRIAL DYSFUNCTION,KIF3A
CAUSES MITOCHONDRIAL DYSFUNCTION,KIF3B
CAUSES MITOCHONDRIAL DYSFUNCTION,KIF3C
CAUSES MITOCHONDRIAL DYSFUNCTION,KIFAP3
CAUSES MITOCHONDRIAL DYSFUNCTION,LZTFL1
CAUSES MITOCHONDRIAL DYSFUNCTION,MAPRE1
CAUSES MITOCHONDRIAL DYSFUNCTION,MARK4
CAUSES MITOCHONDRIAL DYSFUNCTION,MCHR1
CAUSES MITOCHONDRIAL DYSFUNCTION,MKKS
CAUSES MITOCHONDRIAL DYSFUNCTION,MKS1
CAUSES MITOCHONDRIAL DYSFUNCTION,NDE1
CAUSES MITOCHONDRIAL DYSFUNCTION,NEDD1
CAUSES MITOCHONDRIAL DYSFUNCTION,NEK2
CAUSES MITOCHONDRIAL DYSFUNCTION,NINL
CAUSES MITOCHONDRIAL DYSFUNCTION,NPHP1
CAUSES MITOCHONDRIAL DYSFUNCTION,NPHP3
CAUSES MITOCHONDRIAL DYSFUNCTION,NPHP4
CAUSES MITOCHONDRIAL DYSFUNCTION,ODF2
CAUSES MITOCHONDRIAL DYSFUNCTION,OFD1
CAUSES MITOCHONDRIAL DYSFUNCTION,PAFAH1B1
CAUSES MITOCHONDRIAL DYSFUNCTION,PCM1
CAUSES MITOCHONDRIAL DYSFUNCTION,PCNT
CAUSES MITOCHONDRIAL DYSFUNCTION,PDE6D
CAUSES MITOCHONDRIAL DYSFUNCTION,PKD1
CAUSES MITOCHONDRIAL DYSFUNCTION,PKD2
CAUSES MITOCHONDRIAL DYSFUNCTION,PLK1
CAUSES MITOCHONDRIAL DYSFUNCTION,PLK4
CAUSES MITOCHONDRIAL DYSFUNCTION,RAB11A
CAUSES MITOCHONDRIAL DYSFUNCTION,RAB11FIP3
CAUSES MITOCHONDRIAL DYSFUNCTION,RAB3IP
CAUSES MITOCHONDRIAL DYSFUNCTION,RAB8A
CAUSES MITOCHONDRIAL DYSFUNCTION,RHO
CAUSES MITOCHONDRIAL DYSFUNCTION,RP2
CAUSES MITOCHONDRIAL DYSFUNCTION,RPGRIP1L
CAUSES MITOCHONDRIAL DYSFUNCTION,SCLT1
CAUSES MITOCHONDRIAL DYSFUNCTION,SDCCAG8
CAUSES MITOCHONDRIAL DYSFUNCTION,SEPTIN2
CAUSES MITOCHONDRIAL DYSFUNCTION,SFI1
CAUSES MITOCHONDRIAL DYSFUNCTION,SMO
CAUSES MITOCHONDRIAL DYSFUNCTION,SSNA1
CAUSES MITOCHONDRIAL DYSFUNCTION,SSTR3
CAUSES MITOCHONDRIAL DYSFUNCTION,TCP1
CAUSES MITOCHONDRIAL DYSFUNCTION,TCTN1
CAUSES MITOCHONDRIAL DYSFUNCTION,TCTN2
CAUSES MITOCHONDRIAL DYSFUNCTION,TCTN3
CAUSES MITOCHONDRIAL DYSFUNCTION,TMEM216
CAUSES MITOCHONDRIAL DYSFUNCTION,TMEM67
CAUSES MITOCHONDRIAL DYSFUNCTION,TNPO1
CAUSES MITOCHONDRIAL DYSFUNCTION,TRAF3IP1
CAUSES MITOCHONDRIAL DYSFUNCTION,TRIP11
CAUSES MITOCHONDRIAL DYSFUNCTION,TTBK2
CAUSES MITOCHONDRIAL DYSFUNCTION,TTC21B
CAUSES MITOCHONDRIAL DYSFUNCTION,TTC26
CAUSES MITOCHONDRIAL DYSFUNCTION,TTC8
CAUSES MITOCHONDRIAL DYSFUNCTION,TUBA1A
CAUSES MITOCHONDRIAL DYSFUNCTION,TUBA1B
CAUSES MITOCHONDRIAL DYSFUNCTION,TUBA1C
CAUSES MITOCHONDRIAL DYSFUNCTION,TUBA3C
CAUSES MITOCHONDRIAL DYSFUNCTION,TUBA3D
CAUSES MITOCHONDRIAL DYSFUNCTION,TUBA3E
CAUSES MITOCHONDRIAL DYSFUNCTION,TUBA4A
CAUSES MITOCHONDRIAL DYSFUNCTION,TUBA8
CAUSES MITOCHONDRIAL DYSFUNCTION,TUBAL3
CAUSES MITOCHONDRIAL DYSFUNCTION,TUBB
CAUSES MITOCHONDRIAL DYSFUNCTION,TUBB1
CAUSES MITOCHONDRIAL DYSFUNCTION,TUBB2A
CAUSES MITOCHONDRIAL DYSFUNCTION,TUBB2B
CAUSES MITOCHONDRIAL DYSFUNCTION,TUBB3
CAUSES MITOCHONDRIAL DYSFUNCTION,TUBB4A
CAUSES MITOCHONDRIAL DYSFUNCTION,TUBB4B
CAUSES MITOCHONDRIAL DYSFUNCTION,TUBB6
CAUSES MITOCHONDRIAL DYSFUNCTION,TUBB8
CAUSES MITOCHONDRIAL DYSFUNCTION,TUBB8B
CAUSES MITOCHONDRIAL DYSFUNCTION,TUBG1
CAUSES MITOCHONDRIAL DYSFUNCTION,UNC119B
CAUSES MITOCHONDRIAL DYSFUNCTION,WDR19
CAUSES MITOCHONDRIAL DYSFUNCTION,WDR35
CAUSES MITOCHONDRIAL DYSFUNCTION,YWHAE
CAUSES MITOCHONDRIAL DYSFUNCTION,YWHAG
CAUSES MITOCHONDRIAL DYSFUNCTION,ATG12
CAUSES MITOCHONDRIAL DYSFUNCTION,ATG5
CAUSES MITOCHONDRIAL DYSFUNCTION,CSNK2A1
CAUSES MITOCHONDRIAL DYSFUNCTION,CSNK2A2
CAUSES MITOCHONDRIAL DYSFUNCTION,CSNK2B
CAUSES MITOCHONDRIAL DYSFUNCTION,FUNDC1
CAUSES MITOCHONDRIAL DYSFUNCTION,MAP1LC3A
CAUSES MITOCHONDRIAL DYSFUNCTION,MAP1LC3B
CAUSES MITOCHONDRIAL DYSFUNCTION,MFN1
CAUSES MITOCHONDRIAL DYSFUNCTION,MFN2
CAUSES MITOCHONDRIAL DYSFUNCTION,MTERF3
CAUSES MITOCHONDRIAL DYSFUNCTION,PARK2
CAUSES MITOCHONDRIAL DYSFUNCTION,PGAM5
CAUSES MITOCHONDRIAL DYSFUNCTION,PINK1
CAUSES MITOCHONDRIAL DYSFUNCTION,SQSTM1
CAUSES MITOCHONDRIAL DYSFUNCTION,SRC
CAUSES MITOCHONDRIAL DYSFUNCTION,TOMM20
CAUSES MITOCHONDRIAL DYSFUNCTION,TOMM22
CAUSES MITOCHONDRIAL DYSFUNCTION,TOMM40
CAUSES MITOCHONDRIAL DYSFUNCTION,TOMM5
CAUSES MITOCHONDRIAL DYSFUNCTION,TOMM6
CAUSES MITOCHONDRIAL DYSFUNCTION,TOMM7
CAUSES MITOCHONDRIAL DYSFUNCTION,TOMM70
CAUSES MITOCHONDRIAL DYSFUNCTION,ULK1
CAUSES MITOCHONDRIAL DYSFUNCTION,BCS1L
CAUSES MITOCHONDRIAL DYSFUNCTION,CHCHD10
CAUSES MITOCHONDRIAL DYSFUNCTION,CHCHD2
CAUSES MITOCHONDRIAL DYSFUNCTION,CHCHD4
CAUSES MITOCHONDRIAL DYSFUNCTION,CHCHD5
CAUSES MITOCHONDRIAL DYSFUNCTION,CHCHD7
CAUSES MITOCHONDRIAL DYSFUNCTION,CMC2
CAUSES MITOCHONDRIAL DYSFUNCTION,CMC4
CAUSES MITOCHONDRIAL DYSFUNCTION,COA4
CAUSES MITOCHONDRIAL DYSFUNCTION,COA6
CAUSES MITOCHONDRIAL DYSFUNCTION,COQ2
CAUSES MITOCHONDRIAL DYSFUNCTION,COX17
CAUSES MITOCHONDRIAL DYSFUNCTION,DNAJC19
CAUSES MITOCHONDRIAL DYSFUNCTION,GFER
CAUSES MITOCHONDRIAL DYSFUNCTION,GRPEL1
CAUSES MITOCHONDRIAL DYSFUNCTION,GRPEL2
CAUSES MITOCHONDRIAL DYSFUNCTION,HSPD1
CAUSES MITOCHONDRIAL DYSFUNCTION,LDHD
CAUSES MITOCHONDRIAL DYSFUNCTION,OTC
CAUSES MITOCHONDRIAL DYSFUNCTION,PAM16
CAUSES MITOCHONDRIAL DYSFUNCTION,PITRM1
CAUSES MITOCHONDRIAL DYSFUNCTION,SLC25A12
CAUSES MITOCHONDRIAL DYSFUNCTION,SLC25A13
CAUSES MITOCHONDRIAL DYSFUNCTION,SLC25A4
CAUSES MITOCHONDRIAL DYSFUNCTION,SLC25A6
CAUSES MITOCHONDRIAL DYSFUNCTION,TAFAZZIN
CAUSES MITOCHONDRIAL DYSFUNCTION,TIMM10
CAUSES MITOCHONDRIAL DYSFUNCTION,TIMM10B
CAUSES MITOCHONDRIAL DYSFUNCTION,TIMM13
CAUSES MITOCHONDRIAL DYSFUNCTION,TIMM17A
CAUSES MITOCHONDRIAL DYSFUNCTION,TIMM17B
CAUSES MITOCHONDRIAL DYSFUNCTION,TIMM21
CAUSES MITOCHONDRIAL DYSFUNCTION,TIMM22
CAUSES MITOCHONDRIAL DYSFUNCTION,TIMM23
CAUSES MITOCHONDRIAL DYSFUNCTION,TIMM44
CAUSES MITOCHONDRIAL DYSFUNCTION,TIMM50
CAUSES MITOCHONDRIAL DYSFUNCTION,TIMM8A
CAUSES MITOCHONDRIAL DYSFUNCTION,TIMM8B
CAUSES MITOCHONDRIAL DYSFUNCTION,TIMM9
IS GENOTOXIC,E2F1
IS GENOTOXIC,POLA1
IS GENOTOXIC,POLA2
IS GENOTOXIC,PPP2CA
IS GENOTOXIC,PPP2CB
IS GENOTOXIC,PPP2R1A
IS GENOTOXIC,PPP2R1B
IS GENOTOXIC,PPP2R3B
IS GENOTOXIC,PRIM1
IS GENOTOXIC,PRIM2
IS GENOTOXIC,RB1
IS GENOTOXIC,TFDP1
IS GENOTOXIC,TFDP2
IS GENOTOXIC,ATM
IS GENOTOXIC,CCNA1
IS GENOTOXIC,CCNA2
IS GENOTOXIC,CCNE1
IS GENOTOXIC,CCNE2
IS GENOTOXIC,CDC25A
IS GENOTOXIC,CDK2
IS GENOTOXIC,CDKN1A
IS GENOTOXIC,CDKN1B
IS GENOTOXIC,CDKN2A
IS GENOTOXIC,CHEK1
IS GENOTOXIC,CHEK2
IS GENOTOXIC,MDM2
IS GENOTOXIC,MDM4
IS GENOTOXIC,PCBP4
IS GENOTOXIC,PHF20
IS GENOTOXIC,PSMA1
IS GENOTOXIC,PSMA2
IS GENOTOXIC,PSMA3
IS GENOTOXIC,PSMA4
IS GENOTOXIC,PSMA5
IS GENOTOXIC,PSMA6
IS GENOTOXIC,PSMA7
IS GENOTOXIC,PSMA8
IS GENOTOXIC,PSMB1
IS GENOTOXIC,PSMB10
IS GENOTOXIC,PSMB11
IS GENOTOXIC,PSMB2
IS GENOTOXIC,PSMB3
IS GENOTOXIC,PSMB4
IS GENOTOXIC,PSMB5
IS GENOTOXIC,PSMB6
IS GENOTOXIC,PSMB7
IS GENOTOXIC,PSMB8
IS GENOTOXIC,PSMB9
IS GENOTOXIC,PSMC1
IS GENOTOXIC,PSMC2
IS GENOTOXIC,PSMC3
IS GENOTOXIC,PSMC4
IS GENOTOXIC,PSMC5
IS GENOTOXIC,PSMC6
IS GENOTOXIC,PSMD1
IS GENOTOXIC,PSMD10
IS GENOTOXIC,PSMD11
IS GENOTOXIC,PSMD12
IS GENOTOXIC,PSMD13
IS GENOTOXIC,PSMD14
IS GENOTOXIC,PSMD2
IS GENOTOXIC,PSMD3
IS GENOTOXIC,PSMD4
IS GENOTOXIC,PSMD5
IS GENOTOXIC,PSMD6
IS GENOTOXIC,PSMD7
IS GENOTOXIC,PSMD8
IS GENOTOXIC,PSMD9
IS GENOTOXIC,PSME1
IS GENOTOXIC,PSME2
IS GENOTOXIC,PSME3
IS GENOTOXIC,PSME4
IS GENOTOXIC,PSMF1
IS GENOTOXIC,RFWD2
IS GENOTOXIC,RPS27A
IS GENOTOXIC,SEM1
IS GENOTOXIC,TP53
IS GENOTOXIC,UBA52
IS GENOTOXIC,UBB
IS GENOTOXIC,UBC
IS GENOTOXIC,ZNF385A
IS GENOTOXIC,ATR
IS GENOTOXIC,ATRIP
IS GENOTOXIC,CDC25C
IS GENOTOXIC,CDC45
IS GENOTOXIC,CDC6
IS GENOTOXIC,CDC7
IS GENOTOXIC,CLSPN
IS GENOTOXIC,DBF4
IS GENOTOXIC,HUS1
IS GENOTOXIC,MCM10
IS GENOTOXIC,MCM2
IS GENOTOXIC,MCM3
IS GENOTOXIC,MCM4
IS GENOTOXIC,MCM5
IS GENOTOXIC,MCM6
IS GENOTOXIC,MCM7
IS GENOTOXIC,MCM8
IS GENOTOXIC,ORC1
IS GENOTOXIC,ORC2
IS GENOTOXIC,ORC3
IS GENOTOXIC,ORC4
IS GENOTOXIC,ORC5
IS GENOTOXIC,ORC6
IS GENOTOXIC,RAD1
IS GENOTOXIC,RAD17
IS GENOTOXIC,RAD9A
IS GENOTOXIC,RAD9B
IS GENOTOXIC,RFC2
IS GENOTOXIC,RFC3
IS GENOTOXIC,RFC4
IS GENOTOXIC,RFC5
IS GENOTOXIC,RPA1
IS GENOTOXIC,RPA2
IS GENOTOXIC,RPA3
IS GENOTOXIC,BABAM1
IS GENOTOXIC,BARD1
IS GENOTOXIC,BLM
IS GENOTOXIC,BRCA1
IS GENOTOXIC,BRCC3
IS GENOTOXIC,BRE
IS GENOTOXIC,BRIP1
IS GENOTOXIC,CCNB1
IS GENOTOXIC,CDK1
IS GENOTOXIC,DNA2
IS GENOTOXIC,EXO1
IS GENOTOXIC,FAM175A
IS GENOTOXIC,H2AFX
IS GENOTOXIC,H2BC1
IS GENOTOXIC,H2BC11
IS GENOTOXIC,H2BC12
IS GENOTOXIC,H2BC12L
IS GENOTOXIC,H2BC13
IS GENOTOXIC,H2BC14
IS GENOTOXIC,H2BC15
IS GENOTOXIC,H2BC17
IS GENOTOXIC,H2BC21
IS GENOTOXIC,H2BC26
IS GENOTOXIC,H2BC3
IS GENOTOXIC,H2BC4
IS GENOTOXIC,H2BC5
IS GENOTOXIC,H2BC9
IS GENOTOXIC,H3-4
IS GENOTOXIC,H4C1
IS GENOTOXIC,HERC2
IS GENOTOXIC,KAT5
IS GENOTOXIC,MDC1
IS GENOTOXIC,MRE11
IS GENOTOXIC,NBN
IS GENOTOXIC,NSD2
IS GENOTOXIC,PIAS4
IS GENOTOXIC,RAD50
IS GENOTOXIC,RBBP8
IS GENOTOXIC,RHNO1
IS GENOTOXIC,RMI1
IS GENOTOXIC,RMI2
IS GENOTOXIC,RNF168
IS GENOTOXIC,RNF8
IS GENOTOXIC,SFN
IS GENOTOXIC,TOP3A
IS GENOTOXIC,TOPBP1
IS GENOTOXIC,TP53BP1
IS GENOTOXIC,UBE2N
IS GENOTOXIC,UBE2V2
IS GENOTOXIC,UIMC1
IS GENOTOXIC,WEE1
IS GENOTOXIC,WRN
IS GENOTOXIC,YWHAB
IS GENOTOXIC,YWHAE
IS GENOTOXIC,YWHAG
IS GENOTOXIC,YWHAH
IS GENOTOXIC,YWHAQ
IS GENOTOXIC,YWHAZ
IS GENOTOXIC,ATF2
IS GENOTOXIC,CCNH
IS GENOTOXIC,CCNK
IS GENOTOXIC,CCNT1
IS GENOTOXIC,CCNT2
IS GENOTOXIC,CDK12
IS GENOTOXIC,CDK13
IS GENOTOXIC,CDK7
IS GENOTOXIC,CDK9
IS GENOTOXIC,CTDP1
IS GENOTOXIC,DDB2
IS GENOTOXIC,ELL
IS GENOTOXIC,ELOA
IS GENOTOXIC,ELOA2
IS GENOTOXIC,ELOB
IS GENOTOXIC,ELOC
IS GENOTOXIC,ERCC2
IS GENOTOXIC,ERCC3
IS GENOTOXIC,FANCC
IS GENOTOXIC,FANCD2
IS GENOTOXIC,FANCI
IS GENOTOXIC,FOS
IS GENOTOXIC,GTF2F1
IS GENOTOXIC,GTF2F2
IS GENOTOXIC,GTF2H1
IS GENOTOXIC,GTF2H2
IS GENOTOXIC,GTF2H3
IS GENOTOXIC,GTF2H4
IS GENOTOXIC,GTF2H5
IS GENOTOXIC,JUN
IS GENOTOXIC,MLH1
IS GENOTOXIC,MNAT1
IS GENOTOXIC,MSH2
IS GENOTOXIC,NELFA
IS GENOTOXIC,NELFB
IS GENOTOXIC,NELFCD
IS GENOTOXIC,NELFE
IS GENOTOXIC,PMS2
IS GENOTOXIC,POLR2A
IS GENOTOXIC,POLR2B
IS GENOTOXIC,POLR2C
IS GENOTOXIC,POLR2D
IS GENOTOXIC,POLR2E
IS GENOTOXIC,POLR2F
IS GENOTOXIC,POLR2G
IS GENOTOXIC,POLR2H
IS GENOTOXIC,POLR2I
IS GENOTOXIC,POLR2J
IS GENOTOXIC,POLR2K
IS GENOTOXIC,POLR2L
IS GENOTOXIC,RAD51D
IS GENOTOXIC,SSRP1
IS GENOTOXIC,SUPT16H
IS GENOTOXIC,SUPT4H1
IS GENOTOXIC,SUPT5H
IS GENOTOXIC,TCEA1
IS GENOTOXIC,AAAS
IS GENOTOXIC,BMI1
IS GENOTOXIC,CBX2
IS GENOTOXIC,CBX4
IS GENOTOXIC,CBX8
IS GENOTOXIC,CETN2
IS GENOTOXIC,EID3
IS GENOTOXIC,HDAC7
IS GENOTOXIC,NDC1
IS GENOTOXIC,NSMCE1
IS GENOTOXIC,NSMCE2
IS GENOTOXIC,NSMCE3
IS GENOTOXIC,NSMCE4A
IS GENOTOXIC,NUP107
IS GENOTOXIC,NUP133
IS GENOTOXIC,NUP153
IS GENOTOXIC,NUP155
IS GENOTOXIC,NUP160
IS GENOTOXIC,NUP188
IS GENOTOXIC,NUP205
IS GENOTOXIC,NUP210
IS GENOTOXIC,NUP214
IS GENOTOXIC,NUP35
IS GENOTOXIC,NUP37
IS GENOTOXIC,NUP42
IS GENOTOXIC,NUP43
IS GENOTOXIC,NUP50
IS GENOTOXIC,NUP54
IS GENOTOXIC,NUP58
IS GENOTOXIC,NUP62
IS GENOTOXIC,NUP85
IS GENOTOXIC,NUP88
IS GENOTOXIC,NUP93
IS GENOTOXIC,NUP98
IS GENOTOXIC,PARP1
IS GENOTOXIC,PCGF2
IS GENOTOXIC,PHC1
IS GENOTOXIC,PHC2
IS GENOTOXIC,PHC3
IS GENOTOXIC,PIAS1
IS GENOTOXIC,PIAS2
IS GENOTOXIC,PML
IS GENOTOXIC,POM121
IS GENOTOXIC,POM121C
IS GENOTOXIC,RAD21
IS GENOTOXIC,RAD52
IS GENOTOXIC,RAE1
IS GENOTOXIC,RANBP2
IS GENOTOXIC,RING1
IS GENOTOXIC,RNF2
IS GENOTOXIC,SCMH1
IS GENOTOXIC,SEC13
IS GENOTOXIC,SEH1L
IS GENOTOXIC,SMC1A
IS GENOTOXIC,SMC3
IS GENOTOXIC,SMC5
IS GENOTOXIC,SMC6
IS GENOTOXIC,SP100
IS GENOTOXIC,STAG1
IS GENOTOXIC,STAG2
IS GENOTOXIC,SUMO1
IS GENOTOXIC,SUMO2
IS GENOTOXIC,SUMO3
IS GENOTOXIC,TDG
IS GENOTOXIC,TPR
IS GENOTOXIC,UBE2I
IS GENOTOXIC,XPC
IS GENOTOXIC,XRCC4
IS GENOTOXIC,LIG1
IS GENOTOXIC,MSH3
IS GENOTOXIC,MSH6
IS GENOTOXIC,PCNA
IS GENOTOXIC,POLD1
IS GENOTOXIC,POLD2
IS GENOTOXIC,POLD3
IS GENOTOXIC,POLD4
IS GENOTOXIC,ABL1
IS GENOTOXIC,APBB1
IS GENOTOXIC,BAP1
IS GENOTOXIC,BAZ1B
IS GENOTOXIC,BRCA2
IS GENOTOXIC,DCLRE1C
IS GENOTOXIC,EME1
IS GENOTOXIC,EME2
IS GENOTOXIC,ERCC1
IS GENOTOXIC,ERCC4
IS GENOTOXIC,EYA1
IS GENOTOXIC,EYA2
IS GENOTOXIC,EYA3
IS GENOTOXIC,EYA4
IS GENOTOXIC,FEN1
IS GENOTOXIC,GEN1
IS GENOTOXIC,KDM4A
IS GENOTOXIC,KDM4B
IS GENOTOXIC,KPNA2
IS GENOTOXIC,LIG3
IS GENOTOXIC,LIG4
IS GENOTOXIC,MAPK8
IS GENOTOXIC,MUS81
IS GENOTOXIC,NHEJ1
IS GENOTOXIC,PALB2
IS GENOTOXIC,PARP2
IS GENOTOXIC,PAXIP1
IS GENOTOXIC,POLE
IS GENOTOXIC,POLE2
IS GENOTOXIC,POLE3
IS GENOTOXIC,POLE4
IS GENOTOXIC,POLH
IS GENOTOXIC,POLK
IS GENOTOXIC,POLL
IS GENOTOXIC,POLM
IS GENOTOXIC,POLQ
IS GENOTOXIC,PPP4C
IS GENOTOXIC,PPP4R2
IS GENOTOXIC,PPP5C
IS GENOTOXIC,PRKDC
IS GENOTOXIC,RAD51
IS GENOTOXIC,RAD51AP1
IS GENOTOXIC,RAD51B
IS GENOTOXIC,RAD51C
IS GENOTOXIC,RFC1
IS GENOTOXIC,RIF1
IS GENOTOXIC,RNF4
IS GENOTOXIC,RTEL1
IS GENOTOXIC,SIRT6
IS GENOTOXIC,SLX1A
IS GENOTOXIC,SLX4
IS GENOTOXIC,SMARCA5
IS GENOTOXIC,SPIDR
IS GENOTOXIC,TDP1
IS GENOTOXIC,TDP2
IS GENOTOXIC,TIMELESS
IS GENOTOXIC,TIPIN
IS GENOTOXIC,UBXN1
IS GENOTOXIC,XRCC1
IS GENOTOXIC,XRCC2
IS GENOTOXIC,XRCC3
IS GENOTOXIC,XRCC5
IS GENOTOXIC,XRCC6
IS GENOTOXIC,ACTB
IS GENOTOXIC,ACTL6A
IS GENOTOXIC,ACTR5
IS GENOTOXIC,ACTR8
IS GENOTOXIC,AQR
IS GENOTOXIC,CHD1L
IS GENOTOXIC,COPS2
IS GENOTOXIC,COPS3
IS GENOTOXIC,COPS4
IS GENOTOXIC,COPS5
IS GENOTOXIC,COPS6
IS GENOTOXIC,COPS7A
IS GENOTOXIC,COPS7B
IS GENOTOXIC,COPS8
IS GENOTOXIC,CUL4A
IS GENOTOXIC,CUL4B
IS GENOTOXIC,DDB1
IS GENOTOXIC,EP300
IS GENOTOXIC,ERCC5
IS GENOTOXIC,ERCC6
IS GENOTOXIC,ERCC8
IS GENOTOXIC,GPS1
IS GENOTOXIC,HMGN1
IS GENOTOXIC,INO80
IS GENOTOXIC,INO80B
IS GENOTOXIC,INO80C
IS GENOTOXIC,INO80D
IS GENOTOXIC,INO80E
IS GENOTOXIC,ISY1
IS GENOTOXIC,MCRS1
IS GENOTOXIC,NFRKB
IS GENOTOXIC,PIAS3
IS GENOTOXIC,PPIE
IS GENOTOXIC,PRPF19
IS GENOTOXIC,RAD23A
IS GENOTOXIC,RAD23B
IS GENOTOXIC,RBX1
IS GENOTOXIC,RNF111
IS GENOTOXIC,RUVBL1
IS GENOTOXIC,TFPT
IS GENOTOXIC,USP45
IS GENOTOXIC,USP7
IS GENOTOXIC,UVSSA
IS GENOTOXIC,XAB2
IS GENOTOXIC,XPA
IS GENOTOXIC,YY1
IS GENOTOXIC,ZNF830
IS GENOTOXIC,APITD1
IS GENOTOXIC,DCLRE1A
IS GENOTOXIC,DCLRE1B
IS GENOTOXIC,FAAP100
IS GENOTOXIC,FAAP20
IS GENOTOXIC,FAAP24
IS GENOTOXIC,FAN1
IS GENOTOXIC,FANCA
IS GENOTOXIC,FANCB
IS GENOTOXIC,FANCE
IS GENOTOXIC,FANCF
IS GENOTOXIC,FANCG
IS GENOTOXIC,FANCL
IS GENOTOXIC,FANCM
IS GENOTOXIC,POLN
IS GENOTOXIC,STRA13
IS GENOTOXIC,UBE2T
IS GENOTOXIC,USP1
IS GENOTOXIC,WDR48
IS GENOTOXIC,ACD
IS GENOTOXIC,ADPRS
IS GENOTOXIC,APEX1
IS GENOTOXIC,H2AB1
IS GENOTOXIC,H2AC14
IS GENOTOXIC,H2AC18
IS GENOTOXIC,H2AC20
IS GENOTOXIC,H2AC4
IS GENOTOXIC,H2AC6
IS GENOTOXIC,H2AC7
IS GENOTOXIC,H2AJ
IS GENOTOXIC,H2AZ2
IS GENOTOXIC,MBD4
IS GENOTOXIC,MPG
IS GENOTOXIC,MUTYH
IS GENOTOXIC,NEIL1
IS GENOTOXIC,NEIL2
IS GENOTOXIC,NEIL3
IS GENOTOXIC,NTHL1
IS GENOTOXIC,OGG1
IS GENOTOXIC,PARG
IS GENOTOXIC,PNKP
IS GENOTOXIC,POLB
IS GENOTOXIC,POT1
IS GENOTOXIC,SMUG1
IS GENOTOXIC,TERF1
IS GENOTOXIC,TERF2
IS GENOTOXIC,TERF2IP
IS GENOTOXIC,TINF2
IS GENOTOXIC,UNG
IS GENOTOXIC,DTL
IS GENOTOXIC,ISG15
IS GENOTOXIC,MAD2L2
IS GENOTOXIC,NPLOC4
IS GENOTOXIC,PCLAF
IS GENOTOXIC,POLI
IS GENOTOXIC,RAD18
IS GENOTOXIC,RCHY1
IS GENOTOXIC,REV1
IS GENOTOXIC,REV3L
IS GENOTOXIC,SPRTN
IS GENOTOXIC,TRIM25
IS GENOTOXIC,UBA7
IS GENOTOXIC,UBE2B
IS GENOTOXIC,UBE2L6
IS GENOTOXIC,UFD1L
IS GENOTOXIC,USP10
IS GENOTOXIC,USP43
IS GENOTOXIC,VCP
IS GENOTOXIC,ALKBH2
IS GENOTOXIC,ALKBH3
IS GENOTOXIC,ALKBH5
IS GENOTOXIC,ASCC1
IS GENOTOXIC,ASCC2
IS GENOTOXIC,ASCC3
IS GENOTOXIC,FTO
IS GENOTOXIC,MGMT
IS GENOTOXIC,ASF1A
IS GENOTOXIC,CABIN1
IS GENOTOXIC,EP400
IS GENOTOXIC,H1-0
IS GENOTOXIC,H1-1
IS GENOTOXIC,H1-2
IS GENOTOXIC,H1-3
IS GENOTOXIC,H1-4
IS GENOTOXIC,H1-5
IS GENOTOXIC,HIRA
IS GENOTOXIC,HMGA1
