"","KC_term","gene"
"3190","CAUSES INFLAMMATION","GNA13"
"3191","CAUSES INFLAMMATION","ADCY1"
"3192","CAUSES INFLAMMATION","ADCY2"
"3193","CAUSES INFLAMMATION","ADCY3"
"3194","CAUSES INFLAMMATION","P3R3URF-PIK3R3"
"3195","CAUSES INFLAMMATION","ADAMTS13"
"3196","CAUSES INFLAMMATION","ADCY5"
"3197","CAUSES INFLAMMATION","ADCY6"
"3198","CAUSES INFLAMMATION","ADCY7"
"3199","CAUSES INFLAMMATION","ADCY8"
"3200","CAUSES INFLAMMATION","ADCY9"
"3201","CAUSES INFLAMMATION","PLA2G4E"
"3202","CAUSES INFLAMMATION","COL1A1"
"3203","CAUSES INFLAMMATION","COL1A2"
"3204","CAUSES INFLAMMATION","COL3A1"
"3205","CAUSES INFLAMMATION","MAPK14"
"3206","CAUSES INFLAMMATION","PIK3R6"
"3207","CAUSES INFLAMMATION","ADCY4"
"3208","CAUSES INFLAMMATION","AKT1"
"3209","CAUSES INFLAMMATION","AKT2"
"3210","CAUSES INFLAMMATION","FCER1G"
"3211","CAUSES INFLAMMATION","FCGR2A"
"3212","CAUSES INFLAMMATION","PLCB1"
"3213","CAUSES INFLAMMATION","ARHGEF12"
"3214","CAUSES INFLAMMATION","PIK3R5"
"3215","CAUSES INFLAMMATION","FYN"
"3216","CAUSES INFLAMMATION","PLA2G4F"
"3217","CAUSES INFLAMMATION","GNAI1"
"3218","CAUSES INFLAMMATION","GNAI2"
"3219","CAUSES INFLAMMATION","GNAI3"
"3220","CAUSES INFLAMMATION","GNAQ"
"3221","CAUSES INFLAMMATION","GNAS"
"3222","CAUSES INFLAMMATION","PLA2G4D"
"3223","CAUSES INFLAMMATION","ARHGAP35"
"3224","CAUSES INFLAMMATION","GUCY1A2"
"3225","CAUSES INFLAMMATION","GUCY1A1"
"3226","CAUSES INFLAMMATION","GUCY1B1"
"3227","CAUSES INFLAMMATION","MYLK4"
"3228","CAUSES INFLAMMATION","ITGB1"
"3229","CAUSES INFLAMMATION","ITPR1"
"3230","CAUSES INFLAMMATION","ITPR2"
"3231","CAUSES INFLAMMATION","ITPR3"
"3232","CAUSES INFLAMMATION","RHOA"
"3233","CAUSES INFLAMMATION","LCP2"
"3234","CAUSES INFLAMMATION","LYN"
"3235","CAUSES INFLAMMATION","MYLK"
"3236","CAUSES INFLAMMATION","PPP1R12A"
"3237","CAUSES INFLAMMATION","NOS3"
"3238","CAUSES INFLAMMATION","P2RX1"
"3239","CAUSES INFLAMMATION","P2RY1"
"3240","CAUSES INFLAMMATION","GP6"
"3241","CAUSES INFLAMMATION","PIK3CA"
"3242","CAUSES INFLAMMATION","PIK3CB"
"3243","CAUSES INFLAMMATION","PIK3CD"
"3244","CAUSES INFLAMMATION","PIK3CG"
"3245","CAUSES INFLAMMATION","PIK3R1"
"3246","CAUSES INFLAMMATION","PIK3R2"
"3247","CAUSES INFLAMMATION","PLA2G4A"
"3248","CAUSES INFLAMMATION","PLCB2"
"3249","CAUSES INFLAMMATION","PLCB3"
"3250","CAUSES INFLAMMATION","PLCB4"
"3251","CAUSES INFLAMMATION","PLCG2"
"3252","CAUSES INFLAMMATION","APBB1IP"
"3253","CAUSES INFLAMMATION","PPP1CA"
"3254","CAUSES INFLAMMATION","PPP1CB"
"3255","CAUSES INFLAMMATION","PPP1CC"
"3256","CAUSES INFLAMMATION","PRKACA"
"3257","CAUSES INFLAMMATION","PRKACB"
"3258","CAUSES INFLAMMATION","PRKACG"
"3259","CAUSES INFLAMMATION","PRKCI"
"3260","CAUSES INFLAMMATION","PRKCZ"
"3261","CAUSES INFLAMMATION","PRKG1"
"3262","CAUSES INFLAMMATION","PRKG2"
"3263","CAUSES INFLAMMATION","MAPK1"
"3264","CAUSES INFLAMMATION","MAPK3"
"3265","CAUSES INFLAMMATION","MAPK11"
"3266","CAUSES INFLAMMATION","MAPK13"
"3267","CAUSES INFLAMMATION","PTGIR"
"3268","CAUSES INFLAMMATION","PTGS1"
"3269","CAUSES INFLAMMATION","RAP1A"
"3270","CAUSES INFLAMMATION","RAP1B"
"3271","CAUSES INFLAMMATION","ACTB"
"3272","CAUSES INFLAMMATION","ROCK1"
"3273","CAUSES INFLAMMATION","MAPK12"
"3274","CAUSES INFLAMMATION","P2RY12"
"3275","CAUSES INFLAMMATION","SRC"
"3276","CAUSES INFLAMMATION","STIM1"
"3277","CAUSES INFLAMMATION","SYK"
"3278","CAUSES INFLAMMATION","TBXA2R"
"3279","CAUSES INFLAMMATION","TBXAS1"
"3280","CAUSES INFLAMMATION","BTK"
"3281","CAUSES INFLAMMATION","TLN1"
"3282","CAUSES INFLAMMATION","ACTG1"
"3283","CAUSES INFLAMMATION","VASP"
"3284","CAUSES INFLAMMATION","TLN2"
"3285","CAUSES INFLAMMATION","FERMT3"
"3286","CAUSES INFLAMMATION","ORAI1"
"3287","CAUSES INFLAMMATION","PIK3R3"
"3288","CAUSES INFLAMMATION","MYLK2"
"3289","CAUSES INFLAMMATION","PLA2G4C"
"3290","CAUSES INFLAMMATION","VAMP8"
"3291","CAUSES INFLAMMATION","JMJD7-PLA2G4B"
"3292","CAUSES INFLAMMATION","SNAP23"
"3293","CAUSES INFLAMMATION","ARHGEF1"
"3294","CAUSES INFLAMMATION","MYLK3"
"3295","CAUSES INFLAMMATION","ROCK2"
"3296","CAUSES INFLAMMATION","HDAC6"
"3297","CAUSES INFLAMMATION","HDAC5"
"3298","CAUSES INFLAMMATION","PPIF"
"3299","CAUSES INFLAMMATION","LOC102724334"
"3300","CAUSES INFLAMMATION","ATG7"
"3301","CAUSES INFLAMMATION","H2BK1"
"3302","CAUSES INFLAMMATION","H2AL3"
"3303","CAUSES INFLAMMATION","CLCN3"
"3304","CAUSES INFLAMMATION","CLCN4"
"3305","CAUSES INFLAMMATION","CLCN5"
"3306","CAUSES INFLAMMATION","H4C16"
"3307","CAUSES INFLAMMATION","LOC124905743"
"3308","CAUSES INFLAMMATION","H3C14"
"3309","CAUSES INFLAMMATION","H2BC26"
"3310","CAUSES INFLAMMATION","CTSG"
"3311","CAUSES INFLAMMATION","CYBA"
"3312","CAUSES INFLAMMATION","CYBB"
"3313","CAUSES INFLAMMATION","H2BW1"
"3314","CAUSES INFLAMMATION","AGER"
"3315","CAUSES INFLAMMATION","ELANE"
"3316","CAUSES INFLAMMATION","FCGR3A"
"3317","CAUSES INFLAMMATION","FCGR3B"
"3318","CAUSES INFLAMMATION","H2AC1"
"3319","CAUSES INFLAMMATION","PADI4"
"3320","CAUSES INFLAMMATION","FPR1"
"3321","CAUSES INFLAMMATION","FPR2"
"3322","CAUSES INFLAMMATION","FPR3"
"3323","CAUSES INFLAMMATION","MTOR"
"3324","CAUSES INFLAMMATION","H2BC1"
"3325","CAUSES INFLAMMATION","SIGLEC9"
"3326","CAUSES INFLAMMATION","H2BW2"
"3327","CAUSES INFLAMMATION","SLC25A4"
"3328","CAUSES INFLAMMATION","SLC25A5"
"3329","CAUSES INFLAMMATION","SLC25A6"
"3330","CAUSES INFLAMMATION","H2AC8"
"3331","CAUSES INFLAMMATION","H2AC7"
"3332","CAUSES INFLAMMATION","H2AX"
"3333","CAUSES INFLAMMATION","H2AZ1"
"3334","CAUSES INFLAMMATION","H2BC5"
"3335","CAUSES INFLAMMATION","H2BC3"
"3336","CAUSES INFLAMMATION","H3-3A"
"3337","CAUSES INFLAMMATION","H3-3B"
"3338","CAUSES INFLAMMATION","HDAC1"
"3339","CAUSES INFLAMMATION","HDAC2"
"3340","CAUSES INFLAMMATION","HMGB1"
"3341","CAUSES INFLAMMATION","H2AC21"
"3342","CAUSES INFLAMMATION","H3C15"
"3343","CAUSES INFLAMMATION","AQP9"
"3344","CAUSES INFLAMMATION","ITGAL"
"3345","CAUSES INFLAMMATION","MPO"
"3346","CAUSES INFLAMMATION","H3-5"
"3347","CAUSES INFLAMMATION","H2BC18"
"3348","CAUSES INFLAMMATION","NCF2"
"3349","CAUSES INFLAMMATION","NCF4"
"3350","CAUSES INFLAMMATION","H2AB2"
"3351","CAUSES INFLAMMATION","H2AB1"
"3352","CAUSES INFLAMMATION","NFKB1"
"3353","CAUSES INFLAMMATION","TLR7"
"3354","CAUSES INFLAMMATION","TLR8"
"3355","CAUSES INFLAMMATION","HDAC7"
"3356","CAUSES INFLAMMATION","PLCG1"
"3357","CAUSES INFLAMMATION","H2BC12L"
"3358","CAUSES INFLAMMATION","H4C15"
"3359","CAUSES INFLAMMATION","MACROH2A2"
"3360","CAUSES INFLAMMATION","H2AJ"
"3361","CAUSES INFLAMMATION","PRKCA"
"3362","CAUSES INFLAMMATION","PRKCB"
"3363","CAUSES INFLAMMATION","PRKCG"
"3364","CAUSES INFLAMMATION","HDAC8"
"3365","CAUSES INFLAMMATION","MAP2K1"
"3366","CAUSES INFLAMMATION","MAP2K2"
"3367","CAUSES INFLAMMATION","AZU1"
"3368","CAUSES INFLAMMATION","RAC1"
"3369","CAUSES INFLAMMATION","RAC2"
"3370","CAUSES INFLAMMATION","RAF1"
"3371","CAUSES INFLAMMATION","RELA"
"3372","CAUSES INFLAMMATION","SELP"
"3373","CAUSES INFLAMMATION","SELPLG"
"3374","CAUSES INFLAMMATION","CLEC7A"
"3375","CAUSES INFLAMMATION","NCF1"
"3376","CAUSES INFLAMMATION","H3C13"
"3377","CAUSES INFLAMMATION","MAP3K7"
"3378","CAUSES INFLAMMATION","TLR2"
"3379","CAUSES INFLAMMATION","TLR4"
"3380","CAUSES INFLAMMATION","H2AC19"
"3381","CAUSES INFLAMMATION","VDAC1"
"3382","CAUSES INFLAMMATION","VDAC2"
"3383","CAUSES INFLAMMATION","VDAC3"
"3384","CAUSES INFLAMMATION","GSDMD"
"3385","CAUSES INFLAMMATION","HDAC11"
"3386","CAUSES INFLAMMATION","CAMP"
"3387","CAUSES INFLAMMATION","H3-4"
"3388","CAUSES INFLAMMATION","H4C9"
"3389","CAUSES INFLAMMATION","H2AC13"
"3390","CAUSES INFLAMMATION","H2AC15"
"3391","CAUSES INFLAMMATION","H2AC14"
"3392","CAUSES INFLAMMATION","H2AC16"
"3393","CAUSES INFLAMMATION","H2AC6"
"3394","CAUSES INFLAMMATION","H2AC4"
"3395","CAUSES INFLAMMATION","H2AC17"
"3396","CAUSES INFLAMMATION","H2AC18"
"3397","CAUSES INFLAMMATION","H2AC20"
"3398","CAUSES INFLAMMATION","H2BC8"
"3399","CAUSES INFLAMMATION","CASP1"
"3400","CAUSES INFLAMMATION","H2BC13"
"3401","CAUSES INFLAMMATION","H2BC15"
"3402","CAUSES INFLAMMATION","H2BC14"
"3403","CAUSES INFLAMMATION","H2BC7"
"3404","CAUSES INFLAMMATION","H2BC6"
"3405","CAUSES INFLAMMATION","SLC25A31"
"3406","CAUSES INFLAMMATION","H2BC9"
"3407","CAUSES INFLAMMATION","H2BC10"
"3408","CAUSES INFLAMMATION","H2BC4"
"3409","CAUSES INFLAMMATION","H2BC17"
"3410","CAUSES INFLAMMATION","H2BC21"
"3411","CAUSES INFLAMMATION","H3C1"
"3412","CAUSES INFLAMMATION","H3C4"
"3413","CAUSES INFLAMMATION","H3C3"
"3414","CAUSES INFLAMMATION","H3C6"
"3415","CAUSES INFLAMMATION","H3C11"
"3416","CAUSES INFLAMMATION","H3C8"
"3417","CAUSES INFLAMMATION","H3C12"
"3418","CAUSES INFLAMMATION","H3C10"
"3419","CAUSES INFLAMMATION","H3C2"
"3420","CAUSES INFLAMMATION","H4C1"
"3421","CAUSES INFLAMMATION","H4C4"
"3422","CAUSES INFLAMMATION","H4C6"
"3423","CAUSES INFLAMMATION","H4C12"
"3424","CAUSES INFLAMMATION","H4C11"
"3425","CAUSES INFLAMMATION","H4C3"
"3426","CAUSES INFLAMMATION","H4C8"
"3427","CAUSES INFLAMMATION","H4C2"
"3428","CAUSES INFLAMMATION","H4C5"
"3429","CAUSES INFLAMMATION","H4C13"
"3430","CAUSES INFLAMMATION","H4C7"
"3431","CAUSES INFLAMMATION","CASP4"
"3432","CAUSES INFLAMMATION","H4C14"
"3433","CAUSES INFLAMMATION","H2AB3"
"3434","CAUSES INFLAMMATION","HDAC10"
"3435","CAUSES INFLAMMATION","HAT1"
"3436","CAUSES INFLAMMATION","H2AC12"
"3437","CAUSES INFLAMMATION","H2BC12"
"3438","CAUSES INFLAMMATION","HDAC3"
"3439","CAUSES INFLAMMATION","H3C7"
"3440","CAUSES INFLAMMATION","H2AC11"
"3441","CAUSES INFLAMMATION","H2BC11"
"3442","CAUSES INFLAMMATION","H2AC25"
"3443","CAUSES INFLAMMATION","H2AZ2"
"3444","CAUSES INFLAMMATION","MACROH2A1"
"3445","CAUSES INFLAMMATION","HDAC9"
"3446","CAUSES INFLAMMATION","HDAC4"
"3447","CAUSES INFLAMMATION","TLR6"
"3448","CAUSES INFLAMMATION","IRF9"
"3449","CAUSES INFLAMMATION","TAB1"
"3450","CAUSES INFLAMMATION","TIRAP"
"3451","CAUSES INFLAMMATION","CHUK"
"3452","CAUSES INFLAMMATION","MAP3K8"
"3453","CAUSES INFLAMMATION","TICAM1"
"3454","CAUSES INFLAMMATION","CTSK"
"3455","CAUSES INFLAMMATION","TAB2"
"3456","CAUSES INFLAMMATION","FOS"
"3457","CAUSES INFLAMMATION","LY96"
"3458","CAUSES INFLAMMATION","TBK1"
"3459","CAUSES INFLAMMATION","IFNA1"
"3460","CAUSES INFLAMMATION","IFNA2"
"3461","CAUSES INFLAMMATION","IFNA4"
"3462","CAUSES INFLAMMATION","IFNA5"
"3463","CAUSES INFLAMMATION","IFNA6"
"3464","CAUSES INFLAMMATION","IFNA7"
"3465","CAUSES INFLAMMATION","IFNA8"
"3466","CAUSES INFLAMMATION","IFNA10"
"3467","CAUSES INFLAMMATION","IFNA13"
"3468","CAUSES INFLAMMATION","IFNA14"
"3469","CAUSES INFLAMMATION","IFNA16"
"3470","CAUSES INFLAMMATION","IFNA17"
"3471","CAUSES INFLAMMATION","IFNA21"
"3472","CAUSES INFLAMMATION","IFNAR1"
"3473","CAUSES INFLAMMATION","IFNAR2"
"3474","CAUSES INFLAMMATION","IFNB1"
"3475","CAUSES INFLAMMATION","TICAM2"
"3476","CAUSES INFLAMMATION","IKBKB"
"3477","CAUSES INFLAMMATION","CXCL8"
"3478","CAUSES INFLAMMATION","IL12A"
"3479","CAUSES INFLAMMATION","IL12B"
"3480","CAUSES INFLAMMATION","CXCL10"
"3481","CAUSES INFLAMMATION","IRAK1"
"3482","CAUSES INFLAMMATION","IRF3"
"3483","CAUSES INFLAMMATION","IRF5"
"3484","CAUSES INFLAMMATION","IRF7"
"3485","CAUSES INFLAMMATION","JAK1"
"3486","CAUSES INFLAMMATION","JUN"
"3487","CAUSES INFLAMMATION","CCL4L1"
"3488","CAUSES INFLAMMATION","LBP"
"3489","CAUSES INFLAMMATION","CCL3L3"
"3490","CAUSES INFLAMMATION","CXCL9"
"3491","CAUSES INFLAMMATION","MYD88"
"3492","CAUSES INFLAMMATION","NFKBIA"
"3493","CAUSES INFLAMMATION","IRAK4"
"3494","CAUSES INFLAMMATION","TLR9"
"3495","CAUSES INFLAMMATION","TOLLIP"
"3496","CAUSES INFLAMMATION","MAPK8"
"3497","CAUSES INFLAMMATION","MAPK9"
"3498","CAUSES INFLAMMATION","MAPK10"
"3499","CAUSES INFLAMMATION","MAP2K3"
"3500","CAUSES INFLAMMATION","MAP2K6"
"3501","CAUSES INFLAMMATION","MAP2K7"
"3502","CAUSES INFLAMMATION","CCL3"
"3503","CAUSES INFLAMMATION","CCL3L1"
"3504","CAUSES INFLAMMATION","CCL4"
"3505","CAUSES INFLAMMATION","CCL5"
"3506","CAUSES INFLAMMATION","CXCL11"
"3507","CAUSES INFLAMMATION","MAP2K4"
"3508","CAUSES INFLAMMATION","SPP1"
"3509","CAUSES INFLAMMATION","STAT1"
"3510","CAUSES INFLAMMATION","STAT2"
"3511","CAUSES INFLAMMATION","TLR1"
"3512","CAUSES INFLAMMATION","TLR3"
"3513","CAUSES INFLAMMATION","TLR5"
"3514","CAUSES INFLAMMATION","TRAF3"
"3515","CAUSES INFLAMMATION","TRAF6"
"3516","CAUSES INFLAMMATION","TYK2"
"3517","CAUSES INFLAMMATION","CASP8"
"3518","CAUSES INFLAMMATION","IKBKG"
"3519","CAUSES INFLAMMATION","RIPK1"
"3520","CAUSES INFLAMMATION","FADD"
"3521","CAUSES INFLAMMATION","CD80"
"3522","CAUSES INFLAMMATION","CD86"
"3523","CAUSES INFLAMMATION","CCL4L2"
"3524","CAUSES INFLAMMATION","CD40"
"3525","CAUSES INFLAMMATION","IKBKE"
"3526","CAUSES INFLAMMATION","TANK"
"3527","CAUSES INFLAMMATION","DEFB4B"
"3528","CAUSES INFLAMMATION","CASP12"
"3529","CAUSES INFLAMMATION","DNM1L"
"3530","CAUSES INFLAMMATION","NAMPT"
"3531","CAUSES INFLAMMATION","NOD1"
"3532","CAUSES INFLAMMATION","RBCK1"
"3533","CAUSES INFLAMMATION","TXNIP"
"3534","CAUSES INFLAMMATION","PYDC5"
"3535","CAUSES INFLAMMATION","SUGT1"
"3536","CAUSES INFLAMMATION","RIPK3"
"3537","CAUSES INFLAMMATION","GABARAP"
"3538","CAUSES INFLAMMATION","GABARAPL2"
"3539","CAUSES INFLAMMATION","NLRP3"
"3540","CAUSES INFLAMMATION","CARD16"
"3541","CAUSES INFLAMMATION","GBP4"
"3542","CAUSES INFLAMMATION","GBP5"
"3543","CAUSES INFLAMMATION","ANTXR2"
"3544","CAUSES INFLAMMATION","LOC124906744"
"3545","CAUSES INFLAMMATION","LOC124906748"
"3546","CAUSES INFLAMMATION","NEK7"
"3547","CAUSES INFLAMMATION","CTSB"
"3548","CAUSES INFLAMMATION","PYDC2"
"3549","CAUSES INFLAMMATION","DEFA1"
"3550","CAUSES INFLAMMATION","DEFA3"
"3551","CAUSES INFLAMMATION","DEFA4"
"3552","CAUSES INFLAMMATION","DEFA5"
"3553","CAUSES INFLAMMATION","DEFA6"
"3554","CAUSES INFLAMMATION","DEFB4A"
"3555","CAUSES INFLAMMATION","NLRP6"
"3556","CAUSES INFLAMMATION","NLRP7"
"3557","CAUSES INFLAMMATION","GPRC6A"
"3558","CAUSES INFLAMMATION","NLRP1"
"3559","CAUSES INFLAMMATION","CARD8"
"3560","CAUSES INFLAMMATION","GABARAPL1"
"3561","CAUSES INFLAMMATION","PANX1"
"3562","CAUSES INFLAMMATION","TAB3"
"3563","CAUSES INFLAMMATION","TXN2"
"3564","CAUSES INFLAMMATION","PYDC1"
"3565","CAUSES INFLAMMATION","GBP1"
"3566","CAUSES INFLAMMATION","GBP2"
"3567","CAUSES INFLAMMATION","GBP3"
"3568","CAUSES INFLAMMATION","PYCARD"
"3569","CAUSES INFLAMMATION","CXCL1"
"3570","CAUSES INFLAMMATION","CXCL2"
"3571","CAUSES INFLAMMATION","CXCL3"
"3572","CAUSES INFLAMMATION","BIRC2"
"3573","CAUSES INFLAMMATION","BIRC3"
"3574","CAUSES INFLAMMATION","XIAP"
"3575","CAUSES INFLAMMATION","HSP90AA1"
"3576","CAUSES INFLAMMATION","HSP90AB1"
"3577","CAUSES INFLAMMATION","STING1"
"3578","CAUSES INFLAMMATION","IFI16"
"3579","CAUSES INFLAMMATION","IRGM"
"3580","CAUSES INFLAMMATION","IL18"
"3581","CAUSES INFLAMMATION","GBP7"
"3582","CAUSES INFLAMMATION","MAP1LC3BP1"
"3583","CAUSES INFLAMMATION","DEFB103A"
"3584","CAUSES INFLAMMATION","MEFV"
"3585","CAUSES INFLAMMATION","MAP1LC3C"
"3586","CAUSES INFLAMMATION","NAIP"
"3587","CAUSES INFLAMMATION","NFKBIB"
"3588","CAUSES INFLAMMATION","OAS1"
"3589","CAUSES INFLAMMATION","OAS2"
"3590","CAUSES INFLAMMATION","OAS3"
"3591","CAUSES INFLAMMATION","P2RX7"
"3592","CAUSES INFLAMMATION","TRPV2"
"3593","CAUSES INFLAMMATION","TRPM7"
"3594","CAUSES INFLAMMATION","ATG16L1"
"3595","CAUSES INFLAMMATION","RNF31"
"3596","CAUSES INFLAMMATION","MFN1"
"3597","CAUSES INFLAMMATION","PRKCD"
"3598","CAUSES INFLAMMATION","PKN1"
"3599","CAUSES INFLAMMATION","PKN2"
"3600","CAUSES INFLAMMATION","DEFB103B"
"3601","CAUSES INFLAMMATION","ERBIN"
"3602","CAUSES INFLAMMATION","DHX33"
"3603","CAUSES INFLAMMATION","MAVS"
"3604","CAUSES INFLAMMATION","NLRC4"
"3605","CAUSES INFLAMMATION","CARD18"
"3606","CAUSES INFLAMMATION","BCL2"
"3607","CAUSES INFLAMMATION","BCL2L1"
"3608","CAUSES INFLAMMATION","RNASEL"
"3609","CAUSES INFLAMMATION","CCL2"
"3610","CAUSES INFLAMMATION","GPSM3"
"3611","CAUSES INFLAMMATION","NOD2"
"3612","CAUSES INFLAMMATION","CARD9"
"3613","CAUSES INFLAMMATION","MAP1LC3B2"
"3614","CAUSES INFLAMMATION","TNFAIP3"
"3615","CAUSES INFLAMMATION","TP53BP1"
"3616","CAUSES INFLAMMATION","TRAF2"
"3617","CAUSES INFLAMMATION","TRAF5"
"3618","CAUSES INFLAMMATION","TRIP6"
"3619","CAUSES INFLAMMATION","TRPM2"
"3620","CAUSES INFLAMMATION","DEFA1B"
"3621","CAUSES INFLAMMATION","TXN"
"3622","CAUSES INFLAMMATION","YWHAE"
"3623","CAUSES INFLAMMATION","BRCC3"
"3624","CAUSES INFLAMMATION","NLRX1"
"3625","CAUSES INFLAMMATION","MAP1LC3B"
"3626","CAUSES INFLAMMATION","SHARPIN"
"3627","CAUSES INFLAMMATION","CASP5"
"3628","CAUSES INFLAMMATION","ANTXR1"
"3629","CAUSES INFLAMMATION","MAP1LC3A"
"3630","CAUSES INFLAMMATION","CASR"
"3631","CAUSES INFLAMMATION","CARD6"
"3632","CAUSES INFLAMMATION","RIPK2"
"3633","CAUSES INFLAMMATION","PSTPIP1"
"3634","CAUSES INFLAMMATION","MCU"
"3635","CAUSES INFLAMMATION","ATG12"
"3636","CAUSES INFLAMMATION","NLRP12"
"3637","CAUSES INFLAMMATION","AIM2"
"3638","CAUSES INFLAMMATION","ATG5"
"3639","CAUSES INFLAMMATION","MFN2"
"3640","CAUSES INFLAMMATION","ADAR"
"3641","CAUSES INFLAMMATION","CYLD"
"3642","CAUSES INFLAMMATION","DDX3X"
"3643","CAUSES INFLAMMATION","RIGI"
"3644","CAUSES INFLAMMATION","TKFC"
"3645","CAUSES INFLAMMATION","IFNE"
"3646","CAUSES INFLAMMATION","IFNW1"
"3647","CAUSES INFLAMMATION","MAP3K1"
"3648","CAUSES INFLAMMATION","PIN1"
"3649","CAUSES INFLAMMATION","RNF125"
"3650","CAUSES INFLAMMATION","OTUD5"
"3651","CAUSES INFLAMMATION","IFNK"
"3652","CAUSES INFLAMMATION","ZNFX1"
"3653","CAUSES INFLAMMATION","IFIH1"
"3654","CAUSES INFLAMMATION","AZI2"
"3655","CAUSES INFLAMMATION","TRIM25"
"3656","CAUSES INFLAMMATION","DHX58"
"3657","CAUSES INFLAMMATION","SIKE1"
"3658","CAUSES INFLAMMATION","CASP10"
"3659","CAUSES INFLAMMATION","TRADD"
"3660","CAUSES INFLAMMATION","ISG15"
"3661","CAUSES INFLAMMATION","TBKBP1"
"3662","CAUSES INFLAMMATION","G3BP1"
"3663","CAUSES INFLAMMATION","POLR3F"
"3664","CAUSES INFLAMMATION","POLR3G"
"3665","CAUSES INFLAMMATION","POLR3C"
"3666","CAUSES INFLAMMATION","POLR3A"
"3667","CAUSES INFLAMMATION","TREX1"
"3668","CAUSES INFLAMMATION","CGAS"
"3669","CAUSES INFLAMMATION","GSDME"
"3670","CAUSES INFLAMMATION","POLR3H"
"3671","CAUSES INFLAMMATION","DNASE2"
"3672","CAUSES INFLAMMATION","MLKL"
"3673","CAUSES INFLAMMATION","SAMHD1"
"3674","CAUSES INFLAMMATION","ZDHHC1"
"3675","CAUSES INFLAMMATION","PCBP1"
"3676","CAUSES INFLAMMATION","POLR1D"
"3677","CAUSES INFLAMMATION","DDX41"
"3678","CAUSES INFLAMMATION","POLR3K"
"3679","CAUSES INFLAMMATION","POLR2E"
"3680","CAUSES INFLAMMATION","POLR2F"
"3681","CAUSES INFLAMMATION","POLR2H"
"3682","CAUSES INFLAMMATION","POLR2K"
"3683","CAUSES INFLAMMATION","POLR2L"
"3684","CAUSES INFLAMMATION","POLR3B"
"3685","CAUSES INFLAMMATION","POLR3E"
"3686","CAUSES INFLAMMATION","DNASE2B"
"3687","CAUSES INFLAMMATION","ZDHHC11B"
"3688","CAUSES INFLAMMATION","POLR3D"
"3689","CAUSES INFLAMMATION","ZDHHC11"
"3690","CAUSES INFLAMMATION","ZBP1"
"3691","CAUSES INFLAMMATION","CASP3"
"3692","CAUSES INFLAMMATION","CASP7"
"3693","CAUSES INFLAMMATION","POLR3GL"
"3694","CAUSES INFLAMMATION","ZCCHC3"
"3695","CAUSES INFLAMMATION","IL33"
"3696","CAUSES INFLAMMATION","POLR1C"
"3697","CAUSES INFLAMMATION","CLEC4M"
"3698","CAUSES INFLAMMATION","MALT1"
"3699","CAUSES INFLAMMATION","PLK3"
"3700","CAUSES INFLAMMATION","CALML6"
"3701","CAUSES INFLAMMATION","EGR2"
"3702","CAUSES INFLAMMATION","EGR3"
"3703","CAUSES INFLAMMATION","RRAS2"
"3704","CAUSES INFLAMMATION","MRAS"
"3705","CAUSES INFLAMMATION","CLEC4E"
"3706","CAUSES INFLAMMATION","CD209"
"3707","CAUSES INFLAMMATION","HRAS"
"3708","CAUSES INFLAMMATION","CLEC4D"
"3709","CAUSES INFLAMMATION","IL2"
"3710","CAUSES INFLAMMATION","IL10"
"3711","CAUSES INFLAMMATION","IRF1"
"3712","CAUSES INFLAMMATION","KRAS"
"3713","CAUSES INFLAMMATION","LSP1"
"3714","CAUSES INFLAMMATION","MDM2"
"3715","CAUSES INFLAMMATION","NFATC1"
"3716","CAUSES INFLAMMATION","NFATC2"
"3717","CAUSES INFLAMMATION","NFATC3"
"3718","CAUSES INFLAMMATION","NFATC4"
"3719","CAUSES INFLAMMATION","NFKB2"
"3720","CAUSES INFLAMMATION","NRAS"
"3721","CAUSES INFLAMMATION","PAK1"
"3722","CAUSES INFLAMMATION","CLEC1B"
"3723","CAUSES INFLAMMATION","IL23A"
"3724","CAUSES INFLAMMATION","CALML5"
"3725","CAUSES INFLAMMATION","IL17D"
"3726","CAUSES INFLAMMATION","PPP3CA"
"3727","CAUSES INFLAMMATION","PPP3CB"
"3728","CAUSES INFLAMMATION","PPP3CC"
"3729","CAUSES INFLAMMATION","PPP3R1"
"3730","CAUSES INFLAMMATION","PPP3R2"
"3731","CAUSES INFLAMMATION","PTGS2"
"3732","CAUSES INFLAMMATION","PTPN11"
"3733","CAUSES INFLAMMATION","RELB"
"3734","CAUSES INFLAMMATION","BCL3"
"3735","CAUSES INFLAMMATION","RRAS"
"3736","CAUSES INFLAMMATION","CCL17"
"3737","CAUSES INFLAMMATION","CCL22"
"3738","CAUSES INFLAMMATION","CALM1"
"3739","CAUSES INFLAMMATION","CALM2"
"3740","CAUSES INFLAMMATION","CALM3"
"3741","CAUSES INFLAMMATION","CALML3"
"3742","CAUSES INFLAMMATION","CBLB"
"3743","CAUSES INFLAMMATION","KSR1"
"3744","CAUSES INFLAMMATION","BCL10"
"3745","CAUSES INFLAMMATION","MAP3K14"
"3746","CAUSES INFLAMMATION","CALML4"
"3747","CAUSES INFLAMMATION","MAPKAPK2"
"3748","CAUSES INFLAMMATION","CLEC6A"
"3749","CAUSES INFLAMMATION","KIR2DS2"
"3750","CAUSES INFLAMMATION","MICA"
"3751","CAUSES INFLAMMATION","KLRC4-KLRK1"
