"","KC_term","gene"
"8829","ALTERS SIGNAL TRANSDUCTION","FERMT2"
"8830","ALTERS SIGNAL TRANSDUCTION","FGD5"
"8831","ALTERS SIGNAL TRANSDUCTION","FILIP1"
"8832","ALTERS SIGNAL TRANSDUCTION","FLNA"
"8833","ALTERS SIGNAL TRANSDUCTION","FLOT1"
"8834","ALTERS SIGNAL TRANSDUCTION","FLOT2"
"8835","ALTERS SIGNAL TRANSDUCTION","FMNL1"
"8836","ALTERS SIGNAL TRANSDUCTION","FMNL2"
"8837","ALTERS SIGNAL TRANSDUCTION","FMNL3"
"8838","ALTERS SIGNAL TRANSDUCTION","FNBP1"
"8839","ALTERS SIGNAL TRANSDUCTION","FNBP1L"
"8840","ALTERS SIGNAL TRANSDUCTION","GARRE1"
"8841","ALTERS SIGNAL TRANSDUCTION","GBAS"
"8842","ALTERS SIGNAL TRANSDUCTION","GFOD1"
"8843","ALTERS SIGNAL TRANSDUCTION","GIT1"
"8844","ALTERS SIGNAL TRANSDUCTION","GIT2"
"8845","ALTERS SIGNAL TRANSDUCTION","GJA1"
"8846","ALTERS SIGNAL TRANSDUCTION","GMIP"
"8847","ALTERS SIGNAL TRANSDUCTION","GOLGA3"
"8848","ALTERS SIGNAL TRANSDUCTION","GOLGA8R"
"8849","ALTERS SIGNAL TRANSDUCTION","GOPC"
"8850","ALTERS SIGNAL TRANSDUCTION","GPS1"
"8851","ALTERS SIGNAL TRANSDUCTION","HINT2"
"8852","ALTERS SIGNAL TRANSDUCTION","HMHA1"
"8853","ALTERS SIGNAL TRANSDUCTION","HMOX2"
"8854","ALTERS SIGNAL TRANSDUCTION","HNRNPC"
"8855","ALTERS SIGNAL TRANSDUCTION","HSPE1"
"8856","ALTERS SIGNAL TRANSDUCTION","IL32"
"8857","ALTERS SIGNAL TRANSDUCTION","INCENP"
"8858","ALTERS SIGNAL TRANSDUCTION","IQGAP2"
"8859","ALTERS SIGNAL TRANSDUCTION","IQGAP3"
"8860","ALTERS SIGNAL TRANSDUCTION","ITSN2"
"8861","ALTERS SIGNAL TRANSDUCTION","KCTD13"
"8862","ALTERS SIGNAL TRANSDUCTION","KCTD3"
"8863","ALTERS SIGNAL TRANSDUCTION","KDM4C"
"8864","ALTERS SIGNAL TRANSDUCTION","KIF14"
"8865","ALTERS SIGNAL TRANSDUCTION","KIF18A"
"8866","ALTERS SIGNAL TRANSDUCTION","KIF2A"
"8867","ALTERS SIGNAL TRANSDUCTION","KIF2B"
"8868","ALTERS SIGNAL TRANSDUCTION","KIF2C"
"8869","ALTERS SIGNAL TRANSDUCTION","KIF5A"
"8870","ALTERS SIGNAL TRANSDUCTION","KLC2"
"8871","ALTERS SIGNAL TRANSDUCTION","KLC3"
"8872","ALTERS SIGNAL TRANSDUCTION","KLC4"
"8873","ALTERS SIGNAL TRANSDUCTION","KLK2"
"8874","ALTERS SIGNAL TRANSDUCTION","KLK3"
"8875","ALTERS SIGNAL TRANSDUCTION","KNL1"
"8876","ALTERS SIGNAL TRANSDUCTION","KNTC1"
"8877","ALTERS SIGNAL TRANSDUCTION","KTN1"
"8878","ALTERS SIGNAL TRANSDUCTION","LBR"
"8879","ALTERS SIGNAL TRANSDUCTION","LEMD3"
"8880","ALTERS SIGNAL TRANSDUCTION","LETM1"
"8881","ALTERS SIGNAL TRANSDUCTION","LIMK1"
"8882","ALTERS SIGNAL TRANSDUCTION","LIMK2"
"8883","ALTERS SIGNAL TRANSDUCTION","LIN7B"
"8884","ALTERS SIGNAL TRANSDUCTION","LMAN1"
"8885","ALTERS SIGNAL TRANSDUCTION","LMNB1"
"8886","ALTERS SIGNAL TRANSDUCTION","LRRC1"
"8887","ALTERS SIGNAL TRANSDUCTION","LRRC41"
"8888","ALTERS SIGNAL TRANSDUCTION","MACO1"
"8889","ALTERS SIGNAL TRANSDUCTION","MAD1L1"
"8890","ALTERS SIGNAL TRANSDUCTION","MAD2L1"
"8891","ALTERS SIGNAL TRANSDUCTION","MAPRE1"
"8892","ALTERS SIGNAL TRANSDUCTION","MCAM"
"8893","ALTERS SIGNAL TRANSDUCTION","MFN1"
"8894","ALTERS SIGNAL TRANSDUCTION","MFN2"
"8895","ALTERS SIGNAL TRANSDUCTION","MIS12"
"8896","ALTERS SIGNAL TRANSDUCTION","MOSPD2"
"8897","ALTERS SIGNAL TRANSDUCTION","MPP7"
"8898","ALTERS SIGNAL TRANSDUCTION","MRTFA"
"8899","ALTERS SIGNAL TRANSDUCTION","MSI2"
"8900","ALTERS SIGNAL TRANSDUCTION","MTMR1"
"8901","ALTERS SIGNAL TRANSDUCTION","MTR"
"8902","ALTERS SIGNAL TRANSDUCTION","MTX1"
"8903","ALTERS SIGNAL TRANSDUCTION","MUC13"
"8904","ALTERS SIGNAL TRANSDUCTION","MYH10"
"8905","ALTERS SIGNAL TRANSDUCTION","MYH11"
"8906","ALTERS SIGNAL TRANSDUCTION","MYH14"
"8907","ALTERS SIGNAL TRANSDUCTION","MYL12B"
"8908","ALTERS SIGNAL TRANSDUCTION","MYL6"
"8909","ALTERS SIGNAL TRANSDUCTION","MYL9"
"8910","ALTERS SIGNAL TRANSDUCTION","MYLK"
"8911","ALTERS SIGNAL TRANSDUCTION","MYO19"
"8912","ALTERS SIGNAL TRANSDUCTION","MYO6"
"8913","ALTERS SIGNAL TRANSDUCTION","MYO9A"
"8914","ALTERS SIGNAL TRANSDUCTION","MYO9B"
"8915","ALTERS SIGNAL TRANSDUCTION","NCKIPSD"
"8916","ALTERS SIGNAL TRANSDUCTION","NDC80"
"8917","ALTERS SIGNAL TRANSDUCTION","NDE1"
"8918","ALTERS SIGNAL TRANSDUCTION","NDEL1"
"8919","ALTERS SIGNAL TRANSDUCTION","NDUFA5"
"8920","ALTERS SIGNAL TRANSDUCTION","NDUFS3"
"8921","ALTERS SIGNAL TRANSDUCTION","NF2"
"8922","ALTERS SIGNAL TRANSDUCTION","NHS"
"8923","ALTERS SIGNAL TRANSDUCTION","NISCH"
"8924","ALTERS SIGNAL TRANSDUCTION","NOX1"
"8925","ALTERS SIGNAL TRANSDUCTION","NOX3"
"8926","ALTERS SIGNAL TRANSDUCTION","NOXA1"
"8927","ALTERS SIGNAL TRANSDUCTION","NOXO1"
"8928","ALTERS SIGNAL TRANSDUCTION","NSFL1C"
"8929","ALTERS SIGNAL TRANSDUCTION","NSL1"
"8930","ALTERS SIGNAL TRANSDUCTION","NUDC"
"8931","ALTERS SIGNAL TRANSDUCTION","NUF2"
"8932","ALTERS SIGNAL TRANSDUCTION","NUP107"
"8933","ALTERS SIGNAL TRANSDUCTION","NUP133"
"8934","ALTERS SIGNAL TRANSDUCTION","NUP160"
"8935","ALTERS SIGNAL TRANSDUCTION","NUP37"
"8936","ALTERS SIGNAL TRANSDUCTION","NUP43"
"8937","ALTERS SIGNAL TRANSDUCTION","NUP85"
"8938","ALTERS SIGNAL TRANSDUCTION","NUP98"
"8939","ALTERS SIGNAL TRANSDUCTION","OCRL"
"8940","ALTERS SIGNAL TRANSDUCTION","OPHN1"
"8941","ALTERS SIGNAL TRANSDUCTION","OSBPL11"
"8942","ALTERS SIGNAL TRANSDUCTION","PAFAH1B1"
"8943","ALTERS SIGNAL TRANSDUCTION","PAK4"
"8944","ALTERS SIGNAL TRANSDUCTION","PAK5"
"8945","ALTERS SIGNAL TRANSDUCTION","PAK6"
"8946","ALTERS SIGNAL TRANSDUCTION","PARD6B"
"8947","ALTERS SIGNAL TRANSDUCTION","PCDH7"
"8948","ALTERS SIGNAL TRANSDUCTION","PDE5A"
"8949","ALTERS SIGNAL TRANSDUCTION","PEAK1"
"8950","ALTERS SIGNAL TRANSDUCTION","PFN2"
"8951","ALTERS SIGNAL TRANSDUCTION","PGRMC2"
"8952","ALTERS SIGNAL TRANSDUCTION","PHIP"
"8953","ALTERS SIGNAL TRANSDUCTION","PICALM"
"8954","ALTERS SIGNAL TRANSDUCTION","PIN1"
"8955","ALTERS SIGNAL TRANSDUCTION","PKN1"
"8956","ALTERS SIGNAL TRANSDUCTION","PKN2"
"8957","ALTERS SIGNAL TRANSDUCTION","PKN3"
"8958","ALTERS SIGNAL TRANSDUCTION","PKP4"
"8959","ALTERS SIGNAL TRANSDUCTION","PLD1"
"8960","ALTERS SIGNAL TRANSDUCTION","PLD2"
"8961","ALTERS SIGNAL TRANSDUCTION","PLEKHG1"
"8962","ALTERS SIGNAL TRANSDUCTION","PLEKHG3"
"8963","ALTERS SIGNAL TRANSDUCTION","PLEKHG4"
"8964","ALTERS SIGNAL TRANSDUCTION","PLEKHG4B"
"8965","ALTERS SIGNAL TRANSDUCTION","PLEKHG6"
"8966","ALTERS SIGNAL TRANSDUCTION","PLIN3"
"8967","ALTERS SIGNAL TRANSDUCTION","PLK1"
"8968","ALTERS SIGNAL TRANSDUCTION","PLXNA1"
"8969","ALTERS SIGNAL TRANSDUCTION","PMF1"
"8970","ALTERS SIGNAL TRANSDUCTION","POTEE"
"8971","ALTERS SIGNAL TRANSDUCTION","PPP1R12A"
"8972","ALTERS SIGNAL TRANSDUCTION","PPP1R12B"
"8973","ALTERS SIGNAL TRANSDUCTION","PPP1R14A"
"8974","ALTERS SIGNAL TRANSDUCTION","PRC1"
"8975","ALTERS SIGNAL TRANSDUCTION","PTPN13"
"8976","ALTERS SIGNAL TRANSDUCTION","PTRF"
"8977","ALTERS SIGNAL TRANSDUCTION","RAB7A"
"8978","ALTERS SIGNAL TRANSDUCTION","RAB9A"
"8979","ALTERS SIGNAL TRANSDUCTION","RAB9B"
"8980","ALTERS SIGNAL TRANSDUCTION","RACGAP1"
"8981","ALTERS SIGNAL TRANSDUCTION","RALBP1"
"8982","ALTERS SIGNAL TRANSDUCTION","RALGAPA1"
"8983","ALTERS SIGNAL TRANSDUCTION","RANGAP1"
"8984","ALTERS SIGNAL TRANSDUCTION","RAP1GDS1"
"8985","ALTERS SIGNAL TRANSDUCTION","RBBP6"
"8986","ALTERS SIGNAL TRANSDUCTION","RBMX"
"8987","ALTERS SIGNAL TRANSDUCTION","RCC2"
"8988","ALTERS SIGNAL TRANSDUCTION","RHOBTB1"
"8989","ALTERS SIGNAL TRANSDUCTION","RHOBTB2"
"8990","ALTERS SIGNAL TRANSDUCTION","RHOBTB3"
"8991","ALTERS SIGNAL TRANSDUCTION","RHOD"
"8992","ALTERS SIGNAL TRANSDUCTION","RHOF"
"8993","ALTERS SIGNAL TRANSDUCTION","RHOH"
"8994","ALTERS SIGNAL TRANSDUCTION","RHOJ"
"8995","ALTERS SIGNAL TRANSDUCTION","RHOQ"
"8996","ALTERS SIGNAL TRANSDUCTION","RHOT1"
"8997","ALTERS SIGNAL TRANSDUCTION","RHOT2"
"8998","ALTERS SIGNAL TRANSDUCTION","RHOU"
"8999","ALTERS SIGNAL TRANSDUCTION","RHOV"
"9000","ALTERS SIGNAL TRANSDUCTION","RHPN1"
"9001","ALTERS SIGNAL TRANSDUCTION","RHPN2"
"9002","ALTERS SIGNAL TRANSDUCTION","RND1"
"9003","ALTERS SIGNAL TRANSDUCTION","RND2"
"9004","ALTERS SIGNAL TRANSDUCTION","RND3"
"9005","ALTERS SIGNAL TRANSDUCTION","RNF20"
"9006","ALTERS SIGNAL TRANSDUCTION","ROPN1"
"9007","ALTERS SIGNAL TRANSDUCTION","RPS27"
"9008","ALTERS SIGNAL TRANSDUCTION","RRAS2"
"9009","ALTERS SIGNAL TRANSDUCTION","RTKN"
"9010","ALTERS SIGNAL TRANSDUCTION","S100A8"
"9011","ALTERS SIGNAL TRANSDUCTION","S100A9"
"9012","ALTERS SIGNAL TRANSDUCTION","SAMM50"
"9013","ALTERS SIGNAL TRANSDUCTION","SCAI"
"9014","ALTERS SIGNAL TRANSDUCTION","SCFD1"
"9015","ALTERS SIGNAL TRANSDUCTION","SEC13"
"9016","ALTERS SIGNAL TRANSDUCTION","SEH1L"
"9017","ALTERS SIGNAL TRANSDUCTION","SEMA4F"
"9018","ALTERS SIGNAL TRANSDUCTION","SENP1"
"9019","ALTERS SIGNAL TRANSDUCTION","SFN"
"9020","ALTERS SIGNAL TRANSDUCTION","SGK223"
"9021","ALTERS SIGNAL TRANSDUCTION","SGO1"
"9022","ALTERS SIGNAL TRANSDUCTION","SGO2"
"9023","ALTERS SIGNAL TRANSDUCTION","SH3BP1"
"9024","ALTERS SIGNAL TRANSDUCTION","SH3PXD2A"
"9025","ALTERS SIGNAL TRANSDUCTION","SH3RF1"
"9026","ALTERS SIGNAL TRANSDUCTION","SHKBP1"
"9027","ALTERS SIGNAL TRANSDUCTION","SHMT2"
"9028","ALTERS SIGNAL TRANSDUCTION","SKA1"
"9029","ALTERS SIGNAL TRANSDUCTION","SKA2"
"9030","ALTERS SIGNAL TRANSDUCTION","SLC1A5"
"9031","ALTERS SIGNAL TRANSDUCTION","SLC4A7"
"9032","ALTERS SIGNAL TRANSDUCTION","SLITRK3"
"9033","ALTERS SIGNAL TRANSDUCTION","SLITRK5"
"9034","ALTERS SIGNAL TRANSDUCTION","SLK"
"9035","ALTERS SIGNAL TRANSDUCTION","SNAP23"
"9036","ALTERS SIGNAL TRANSDUCTION","SOWAHC"
"9037","ALTERS SIGNAL TRANSDUCTION","SPATA13"
"9038","ALTERS SIGNAL TRANSDUCTION","SPC24"
"9039","ALTERS SIGNAL TRANSDUCTION","SPC25"
"9040","ALTERS SIGNAL TRANSDUCTION","SPDL1"
"9041","ALTERS SIGNAL TRANSDUCTION","SPEN"
"9042","ALTERS SIGNAL TRANSDUCTION","SRGAP1"
"9043","ALTERS SIGNAL TRANSDUCTION","SRGAP2"
"9044","ALTERS SIGNAL TRANSDUCTION","SRGAP3"
"9045","ALTERS SIGNAL TRANSDUCTION","SRRM1"
"9046","ALTERS SIGNAL TRANSDUCTION","STARD13"
"9047","ALTERS SIGNAL TRANSDUCTION","STARD8"
"9048","ALTERS SIGNAL TRANSDUCTION","STBD1"
"9049","ALTERS SIGNAL TRANSDUCTION","STEAP3"
"9050","ALTERS SIGNAL TRANSDUCTION","STIP1"
"9051","ALTERS SIGNAL TRANSDUCTION","STK10"
"9052","ALTERS SIGNAL TRANSDUCTION","STK38"
"9053","ALTERS SIGNAL TRANSDUCTION","STMN2"
"9054","ALTERS SIGNAL TRANSDUCTION","STOM"
"9055","ALTERS SIGNAL TRANSDUCTION","STX5"
"9056","ALTERS SIGNAL TRANSDUCTION","SWAP70"
"9057","ALTERS SIGNAL TRANSDUCTION","SYDE1"
"9058","ALTERS SIGNAL TRANSDUCTION","SYDE2"
"9059","ALTERS SIGNAL TRANSDUCTION","TAGAP"
"9060","ALTERS SIGNAL TRANSDUCTION","TAOK1"
"9061","ALTERS SIGNAL TRANSDUCTION","TAOK3"
"9062","ALTERS SIGNAL TRANSDUCTION","TAX1BP3"
"9063","ALTERS SIGNAL TRANSDUCTION","TEX2"
"9064","ALTERS SIGNAL TRANSDUCTION","TFRC"
"9065","ALTERS SIGNAL TRANSDUCTION","TMEM59"
"9066","ALTERS SIGNAL TRANSDUCTION","TMEM87A"
"9067","ALTERS SIGNAL TRANSDUCTION","TMOD3"
"9068","ALTERS SIGNAL TRANSDUCTION","TMPO"
"9069","ALTERS SIGNAL TRANSDUCTION","TNFAIP1"
"9070","ALTERS SIGNAL TRANSDUCTION","TOR1AIP1"
"9071","ALTERS SIGNAL TRANSDUCTION","TRA2B"
"9072","ALTERS SIGNAL TRANSDUCTION","TRAK2"
"9073","ALTERS SIGNAL TRANSDUCTION","TRIP10"
"9074","ALTERS SIGNAL TRANSDUCTION","TUBA3E"
"9075","ALTERS SIGNAL TRANSDUCTION","TUBA4B"
"9076","ALTERS SIGNAL TRANSDUCTION","TUBA8"
"9077","ALTERS SIGNAL TRANSDUCTION","TUBAL3"
"9078","ALTERS SIGNAL TRANSDUCTION","TUBB8"
"9079","ALTERS SIGNAL TRANSDUCTION","TUBB8B"
"9080","ALTERS SIGNAL TRANSDUCTION","TWF1"
"9081","ALTERS SIGNAL TRANSDUCTION","TXNL1"
"9082","ALTERS SIGNAL TRANSDUCTION","UACA"
"9083","ALTERS SIGNAL TRANSDUCTION","UBXN11"
"9084","ALTERS SIGNAL TRANSDUCTION","VAMP3"
"9085","ALTERS SIGNAL TRANSDUCTION","VANGL1"
"9086","ALTERS SIGNAL TRANSDUCTION","VAPB"
"9087","ALTERS SIGNAL TRANSDUCTION","VHL"
"9088","ALTERS SIGNAL TRANSDUCTION","VIM"
"9089","ALTERS SIGNAL TRANSDUCTION","VRK2"
"9090","ALTERS SIGNAL TRANSDUCTION","WAS"
"9091","ALTERS SIGNAL TRANSDUCTION","WASL"
"9092","ALTERS SIGNAL TRANSDUCTION","WDR11"
"9093","ALTERS SIGNAL TRANSDUCTION","WDR6"
"9094","ALTERS SIGNAL TRANSDUCTION","WDR81"
"9095","ALTERS SIGNAL TRANSDUCTION","WDR91"
"9096","ALTERS SIGNAL TRANSDUCTION","WHAMM"
"9097","ALTERS SIGNAL TRANSDUCTION","WIPF1"
"9098","ALTERS SIGNAL TRANSDUCTION","WIPF2"
"9099","ALTERS SIGNAL TRANSDUCTION","WIPF3"
"9100","ALTERS SIGNAL TRANSDUCTION","YKT6"
"9101","ALTERS SIGNAL TRANSDUCTION","YWHAG"
"9102","ALTERS SIGNAL TRANSDUCTION","YWHAH"
"9103","ALTERS SIGNAL TRANSDUCTION","YWHAQ"
"9104","ALTERS SIGNAL TRANSDUCTION","ZAP70"
"9105","ALTERS SIGNAL TRANSDUCTION","ZNF512B"
"9106","ALTERS SIGNAL TRANSDUCTION","ZW10"
"9107","ALTERS SIGNAL TRANSDUCTION","ZWILCH"
"9108","ALTERS SIGNAL TRANSDUCTION","ZWINT"
"9109","CAUSES MITOCHONDRIAL DYSFUNCTION","FDX1"
"9110","CAUSES MITOCHONDRIAL DYSFUNCTION","FDX2"
"9111","CAUSES MITOCHONDRIAL DYSFUNCTION","FDXR"
"9112","CAUSES MITOCHONDRIAL DYSFUNCTION","FXN"
"9113","CAUSES MITOCHONDRIAL DYSFUNCTION","GLRX5"
"9114","CAUSES MITOCHONDRIAL DYSFUNCTION","HSCB"
"9115","CAUSES MITOCHONDRIAL DYSFUNCTION","ISCA1"
"9116","CAUSES MITOCHONDRIAL DYSFUNCTION","ISCA2"
"9117","CAUSES MITOCHONDRIAL DYSFUNCTION","ISCU"
"9118","CAUSES MITOCHONDRIAL DYSFUNCTION","LYRM4"
"9119","CAUSES MITOCHONDRIAL DYSFUNCTION","NFS1"
"9120","CAUSES MITOCHONDRIAL DYSFUNCTION","SLC25A28"
"9121","CAUSES MITOCHONDRIAL DYSFUNCTION","SLC25A37"
"9122","CAUSES MITOCHONDRIAL DYSFUNCTION","ACAD9"
"9123","CAUSES MITOCHONDRIAL DYSFUNCTION","ACO2"
"9124","CAUSES MITOCHONDRIAL DYSFUNCTION","ADHFE1"
"9125","CAUSES MITOCHONDRIAL DYSFUNCTION","ATP5F1A"
"9126","CAUSES MITOCHONDRIAL DYSFUNCTION","ATP5F1B"
"9127","CAUSES MITOCHONDRIAL DYSFUNCTION","ATP5F1C"
"9128","CAUSES MITOCHONDRIAL DYSFUNCTION","ATP5F1D"
"9129","CAUSES MITOCHONDRIAL DYSFUNCTION","ATP5F1E"
"9130","CAUSES MITOCHONDRIAL DYSFUNCTION","ATP5MC1"
"9131","CAUSES MITOCHONDRIAL DYSFUNCTION","ATP5MC2"
"9132","CAUSES MITOCHONDRIAL DYSFUNCTION","ATP5MC3"
"9133","CAUSES MITOCHONDRIAL DYSFUNCTION","ATP5ME"
"9134","CAUSES MITOCHONDRIAL DYSFUNCTION","ATP5MF"
"9135","CAUSES MITOCHONDRIAL DYSFUNCTION","ATP5MG"
"9136","CAUSES MITOCHONDRIAL DYSFUNCTION","ATP5PB"
"9137","CAUSES MITOCHONDRIAL DYSFUNCTION","ATP5PD"
"9138","CAUSES MITOCHONDRIAL DYSFUNCTION","ATP5PF"
"9139","CAUSES MITOCHONDRIAL DYSFUNCTION","ATP5PO"
"9140","CAUSES MITOCHONDRIAL DYSFUNCTION","BSG"
"9141","CAUSES MITOCHONDRIAL DYSFUNCTION","COA1"
"9142","CAUSES MITOCHONDRIAL DYSFUNCTION","COQ10A"
"9143","CAUSES MITOCHONDRIAL DYSFUNCTION","COQ10B"
"9144","CAUSES MITOCHONDRIAL DYSFUNCTION","COX11"
"9145","CAUSES MITOCHONDRIAL DYSFUNCTION","COX14"
"9146","CAUSES MITOCHONDRIAL DYSFUNCTION","COX16"
"9147","CAUSES MITOCHONDRIAL DYSFUNCTION","COX18"
"9148","CAUSES MITOCHONDRIAL DYSFUNCTION","COX19"
"9149","CAUSES MITOCHONDRIAL DYSFUNCTION","COX20"
"9150","CAUSES MITOCHONDRIAL DYSFUNCTION","COX4I1"
"9151","CAUSES MITOCHONDRIAL DYSFUNCTION","COX5A"
"9152","CAUSES MITOCHONDRIAL DYSFUNCTION","COX5B"
"9153","CAUSES MITOCHONDRIAL DYSFUNCTION","COX6A1"
"9154","CAUSES MITOCHONDRIAL DYSFUNCTION","COX6B1"
"9155","CAUSES MITOCHONDRIAL DYSFUNCTION","COX6C"
"9156","CAUSES MITOCHONDRIAL DYSFUNCTION","COX7A2L"
"9157","CAUSES MITOCHONDRIAL DYSFUNCTION","COX7B"
"9158","CAUSES MITOCHONDRIAL DYSFUNCTION","COX7C"
"9159","CAUSES MITOCHONDRIAL DYSFUNCTION","COX8A"
"9160","CAUSES MITOCHONDRIAL DYSFUNCTION","CS"
"9161","CAUSES MITOCHONDRIAL DYSFUNCTION","CYC1"
"9162","CAUSES MITOCHONDRIAL DYSFUNCTION","CYCS"
"9163","CAUSES MITOCHONDRIAL DYSFUNCTION","D2HGDH"
"9164","CAUSES MITOCHONDRIAL DYSFUNCTION","DLAT"
"9165","CAUSES MITOCHONDRIAL DYSFUNCTION","DLD"
"9166","CAUSES MITOCHONDRIAL DYSFUNCTION","DLST"
"9167","CAUSES MITOCHONDRIAL DYSFUNCTION","DMAC2L"
"9168","CAUSES MITOCHONDRIAL DYSFUNCTION","ECSIT"
"9169","CAUSES MITOCHONDRIAL DYSFUNCTION","ETFA"
"9170","CAUSES MITOCHONDRIAL DYSFUNCTION","ETFB"
"9171","CAUSES MITOCHONDRIAL DYSFUNCTION","ETFDH"
"9172","CAUSES MITOCHONDRIAL DYSFUNCTION","FAHD1"
"9173","CAUSES MITOCHONDRIAL DYSFUNCTION","FH"
"9174","CAUSES MITOCHONDRIAL DYSFUNCTION","GLO1"
"9175","CAUSES MITOCHONDRIAL DYSFUNCTION","GSTZ1"
"9176","CAUSES MITOCHONDRIAL DYSFUNCTION","HAGH"
"9177","CAUSES MITOCHONDRIAL DYSFUNCTION","IDH2"
"9178","CAUSES MITOCHONDRIAL DYSFUNCTION","IDH3A"
"9179","CAUSES MITOCHONDRIAL DYSFUNCTION","IDH3B"
"9180","CAUSES MITOCHONDRIAL DYSFUNCTION","IDH3G"
"9181","CAUSES MITOCHONDRIAL DYSFUNCTION","L2HGDH"
"9182","CAUSES MITOCHONDRIAL DYSFUNCTION","LDHA"
"9183","CAUSES MITOCHONDRIAL DYSFUNCTION","LDHAL6A"
"9184","CAUSES MITOCHONDRIAL DYSFUNCTION","LDHAL6B"
"9185","CAUSES MITOCHONDRIAL DYSFUNCTION","LDHB"
"9186","CAUSES MITOCHONDRIAL DYSFUNCTION","LDHC"
"9187","CAUSES MITOCHONDRIAL DYSFUNCTION","LRPPRC"
"9188","CAUSES MITOCHONDRIAL DYSFUNCTION","MDH2"
"9189","CAUSES MITOCHONDRIAL DYSFUNCTION","ME1"
"9190","CAUSES MITOCHONDRIAL DYSFUNCTION","ME2"
"9191","CAUSES MITOCHONDRIAL DYSFUNCTION","ME3"
"9192","CAUSES MITOCHONDRIAL DYSFUNCTION","MPC1"
"9193","CAUSES MITOCHONDRIAL DYSFUNCTION","MPC2"
"9194","CAUSES MITOCHONDRIAL DYSFUNCTION","MT-ATP6"
"9195","CAUSES MITOCHONDRIAL DYSFUNCTION","MT-ATP8"
"9196","CAUSES MITOCHONDRIAL DYSFUNCTION","MT-CO1"
"9197","CAUSES MITOCHONDRIAL DYSFUNCTION","MT-CO2"
"9198","CAUSES MITOCHONDRIAL DYSFUNCTION","MT-CO3"
"9199","CAUSES MITOCHONDRIAL DYSFUNCTION","MT-CYB"
"9200","CAUSES MITOCHONDRIAL DYSFUNCTION","MT-ND1"
"9201","CAUSES MITOCHONDRIAL DYSFUNCTION","MT-ND2"
"9202","CAUSES MITOCHONDRIAL DYSFUNCTION","MT-ND3"
"9203","CAUSES MITOCHONDRIAL DYSFUNCTION","MT-ND4"
"9204","CAUSES MITOCHONDRIAL DYSFUNCTION","MT-ND5"
"9205","CAUSES MITOCHONDRIAL DYSFUNCTION","MT-ND6"
"9206","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFA1"
"9207","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFA10"
"9208","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFA11"
"9209","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFA12"
"9210","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFA13"
"9211","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFA2"
"9212","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFA3"
"9213","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFA4"
"9214","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFA5"
"9215","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFA6"
"9216","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFA7"
"9217","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFA8"
"9218","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFA9"
"9219","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFAB1"
"9220","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFAF1"
"9221","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFAF2"
"9222","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFAF3"
"9223","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFAF4"
"9224","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFAF5"
"9225","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFAF6"
"9226","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFAF7"
"9227","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFB1"
"9228","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFB10"
"9229","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFB11"
"9230","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFB2"
"9231","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFB3"
"9232","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFB4"
"9233","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFB5"
"9234","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFB6"
"9235","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFB7"
"9236","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFB8"
"9237","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFB9"
"9238","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFC1"
"9239","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFC2"
"9240","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFS1"
"9241","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFS2"
"9242","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFS3"
"9243","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFS4"
"9244","CAUSES MITOCHONDRIAL DYSFUNCTION","NDUFS5"
